date,total,comment,reply
2025-09-12,21,9,12
2025-09-13,113,75,38
2025-09-14,89,50,39
2025-09-15,72,51,21
2025-09-16,63,54,9
2025-09-17,10,6,4
2025-09-18,7,7,0
2025-09-19,4,3,1
2025-09-21,3,3,0
2025-09-22,19,19,0
2025-09-23,2,2,0
2025-09-24,1,1,0
2025-09-25,2,2,0
2025-09-27,1,1,0
2025-09-29,1,1,0
2025-10-07,1,1,0
2025-10-14,1,1,0
2025-10-31,1,1,0
2025-11-08,1,1,0
2025-11-27,1,1,0
2026-01-16,20,10,10
2026-01-17,15,7,8
2026-01-18,2,1,1
2026-01-19,1,1,0
2026-01-25,1,1,0
2026-02-05,1,1,0
2026-05-28,1,1,0
2026-05-31,1,1,0
