date,content_count,comment_count,reply_count,like_sum,max_like
2025-09-12,21,9,12,14805,3297
2025-09-13,113,75,38,21018,4525
2025-09-14,89,50,39,49838,10287
2025-09-15,72,51,21,5643,967
2025-09-16,63,54,9,4132,743
2025-09-17,10,6,4,277,173
2025-09-18,7,7,0,167,140
2025-09-19,4,3,1,54,37
2025-09-21,3,3,0,2,1
2025-09-22,19,19,0,117,20
2025-09-23,2,2,0,35,34
2025-09-24,1,1,0,1,1
2025-09-25,2,2,0,8,7
2025-09-27,1,1,0,1,1
2025-09-29,1,1,0,1,1
2025-10-07,1,1,0,0,0
2025-10-14,1,1,0,0,0
2025-10-31,1,1,0,0,0
2025-11-08,1,1,0,0,0
2025-11-27,1,1,0,0,0
2026-01-16,20,10,10,3249,791
2026-01-17,15,7,8,988,288
2026-01-18,2,1,1,30,28
2026-01-19,1,1,0,156,156
2026-01-25,1,1,0,0,0
2026-02-05,1,1,0,0,0
2026-05-28,1,1,0,1,1
2026-05-31,1,1,0,1,1
