user_id,user_name,content_count,source_count,received_like_sum,max_single_like,avg_like,first_seen_at,last_seen_at
bilibili:14046072,Mikoyan21,1,1,10287,10287,10287.0,2025-09-14T16:25:10+08:00,2025-09-14T16:25:10+08:00
bilibili:16569302,弃庸乎,1,1,5203,5203,5203.0,2025-09-14T12:22:55+08:00,2025-09-14T12:22:55+08:00
bilibili:386799140,嗨皮要天天嗨皮,1,1,4525,4525,4525.0,2025-09-13T22:12:52+08:00,2025-09-13T22:12:52+08:00
bilibili:362166833,清风夏天鸣蝉,1,1,3880,3880,3880.0,2025-09-14T21:23:25+08:00,2025-09-14T21:23:25+08:00
bilibili:2800590,cheefay,1,1,3547,3547,3547.0,2025-09-14T11:34:56+08:00,2025-09-14T11:34:56+08:00
bilibili:21895343,穿趿拉板吃涮锅子,1,1,3297,3297,3297.0,2025-09-12T22:48:24+08:00,2025-09-12T22:48:24+08:00
bilibili:4192759,飘酱_,2,1,3294,3209,1647.0,2025-09-12T22:29:19+08:00,2025-09-12T23:07:15+08:00
bilibili:37087045,皇后的头风,14,1,2830,939,202.14,2025-09-12T22:11:36+08:00,2025-09-13T15:56:48+08:00
bilibili:40853970,演员熊凤山,2,2,2680,2678,1340.0,2025-09-14T08:17:59+08:00,2025-09-14T14:26:39+08:00
bilibili:7644696,吧啦吧啦kimoji,1,1,2521,2521,2521.0,2025-09-14T11:47:18+08:00,2025-09-14T11:47:18+08:00
bilibili:8396203,怡红公子不懂爱,1,1,2318,2318,2318.0,2025-09-13T00:53:24+08:00,2025-09-13T00:53:24+08:00
bilibili:419175194,杉木橦,1,1,2014,2014,2014.0,2025-09-13T18:29:28+08:00,2025-09-13T18:29:28+08:00
bilibili:33709459,猪呆呆吃玉米,1,1,1801,1801,1801.0,2025-09-14T11:09:33+08:00,2025-09-14T11:09:33+08:00
bilibili:179911944,9mm空尖弹,1,1,1643,1643,1643.0,2025-09-14T09:36:22+08:00,2025-09-14T09:36:22+08:00
bilibili:261892524,大明瓦学弟朱祁镇,1,1,1539,1539,1539.0,2025-09-14T17:10:32+08:00,2025-09-14T17:10:32+08:00
bilibili:488404711,人生不是电视剧,1,1,1456,1456,1456.0,2025-09-14T11:37:18+08:00,2025-09-14T11:37:18+08:00
bilibili:24556340,鱼刺931,1,1,1358,1358,1358.0,2025-09-13T00:17:28+08:00,2025-09-13T00:17:28+08:00
bilibili:321667815,代号x该隐1,1,1,1328,1328,1328.0,2025-09-12T22:55:07+08:00,2025-09-12T22:55:07+08:00
bilibili:2984705,夢夢gtz,1,1,1303,1303,1303.0,2025-09-14T14:47:44+08:00,2025-09-14T14:47:44+08:00
bilibili:15904760,小能苗绝不投降,1,1,1283,1283,1283.0,2025-09-12T22:42:04+08:00,2025-09-12T22:42:04+08:00
bilibili:279661,JIUQIANSHUODAO,1,1,1206,1206,1206.0,2025-09-12T22:51:02+08:00,2025-09-12T22:51:02+08:00
bilibili:513524126,二愣子111,1,1,1067,1067,1067.0,2025-09-14T19:00:44+08:00,2025-09-14T19:00:44+08:00
bilibili:85634750,无物而真,1,1,967,967,967.0,2025-09-15T09:32:41+08:00,2025-09-15T09:32:41+08:00
bilibili:88525105,鹿的洗碗人,1,1,839,839,839.0,2025-09-14T11:45:08+08:00,2025-09-14T11:45:08+08:00
bilibili:15350722,MISSC0622,1,1,794,794,794.0,2025-09-13T00:42:44+08:00,2025-09-13T00:42:44+08:00
bilibili:3242069,园外雪离人泪,1,1,791,791,791.0,2026-01-16T11:00:24+08:00,2026-01-16T11:00:24+08:00
bilibili:405069934,jonning的小号,1,1,778,778,778.0,2025-09-12T22:44:03+08:00,2025-09-12T22:44:03+08:00
bilibili:1980887269,周运浩,1,1,743,743,743.0,2025-09-16T09:11:59+08:00,2025-09-16T09:11:59+08:00
bilibili:13327156,cvfgji,1,1,738,738,738.0,2025-09-14T12:39:57+08:00,2025-09-14T12:39:57+08:00
bilibili:28860133,红豆南国等你,1,1,731,731,731.0,2025-09-14T15:53:48+08:00,2025-09-14T15:53:48+08:00
bilibili:101341678,晓夏暮殇,1,1,697,697,697.0,2025-09-14T16:35:06+08:00,2025-09-14T16:35:06+08:00
bilibili:14495805,清时CheersArt,1,1,694,694,694.0,2025-09-14T03:14:05+08:00,2025-09-14T03:14:05+08:00
bilibili:2619996,小夜宇w,1,1,694,694,694.0,2025-09-14T11:32:54+08:00,2025-09-14T11:32:54+08:00
bilibili:4121086,黑_李子,1,1,689,689,689.0,2025-09-13T15:29:48+08:00,2025-09-13T15:29:48+08:00
bilibili:173244991,大方向是对的长长名字,1,1,659,659,659.0,2025-09-15T07:42:57+08:00,2025-09-15T07:42:57+08:00
bilibili:1467643346,橘柚橸,1,1,639,639,639.0,2025-09-13T19:35:30+08:00,2025-09-13T19:35:30+08:00
bilibili:26391649,欢喵爱吃鱼,1,1,611,611,611.0,2025-09-13T00:40:22+08:00,2025-09-13T00:40:22+08:00
bilibili:505860323,风云中的小怪兽,1,1,600,600,600.0,2025-09-14T13:11:55+08:00,2025-09-14T13:11:55+08:00
bilibili:32794463,一脚一个反思怪,1,1,575,575,575.0,2025-09-14T11:46:59+08:00,2025-09-14T11:46:59+08:00
bilibili:494471075,-该用户账号注销-,1,1,573,573,573.0,2026-01-16T06:41:59+08:00,2026-01-16T06:41:59+08:00
bilibili:1975211,IlIlIlIIllIIlIlI,1,1,537,537,537.0,2025-09-14T07:52:57+08:00,2025-09-14T07:52:57+08:00
bilibili:34641757,40656763,1,1,527,527,527.0,2025-09-12T23:42:40+08:00,2025-09-12T23:42:40+08:00
bilibili:386825429,黄辉冯师傅,1,1,520,520,520.0,2025-09-15T22:29:33+08:00,2025-09-15T22:29:33+08:00
bilibili:357773251,特立独醒的猫先森,1,1,498,498,498.0,2025-09-14T12:33:27+08:00,2025-09-14T12:33:27+08:00
bilibili:239832158,夜微凉人生忆,1,1,476,476,476.0,2025-09-14T11:53:09+08:00,2025-09-14T11:53:09+08:00
bilibili:346432948,agere23,1,1,471,471,471.0,2025-09-12T23:30:14+08:00,2025-09-12T23:30:14+08:00
bilibili:234574674,萌抽抽儿,1,1,447,447,447.0,2025-09-12T22:43:55+08:00,2025-09-12T22:43:55+08:00
bilibili:38514168,Kalataer,1,1,445,445,445.0,2025-09-13T01:09:29+08:00,2025-09-13T01:09:29+08:00
bilibili:408436013,Mr-__,1,1,435,435,435.0,2025-09-13T15:15:02+08:00,2025-09-13T15:15:02+08:00
bilibili:68389788,休伯利安号战列巡航舰,1,1,420,420,420.0,2026-01-16T10:11:28+08:00,2026-01-16T10:11:28+08:00
bilibili:8378946,WzZP,1,1,404,404,404.0,2025-09-16T13:41:35+08:00,2025-09-16T13:41:35+08:00
bilibili:90581079,我的艾达老婆,1,1,401,401,401.0,2025-09-13T19:33:03+08:00,2025-09-13T19:33:03+08:00
bilibili:164099874,叁石头,1,1,397,397,397.0,2025-09-15T08:05:55+08:00,2025-09-15T08:05:55+08:00
bilibili:235949,博丽灵梦X,1,1,387,387,387.0,2025-09-14T16:18:55+08:00,2025-09-14T16:18:55+08:00
bilibili:19412032,鸣谦s,1,1,380,380,380.0,2025-09-14T23:59:11+08:00,2025-09-14T23:59:11+08:00
bilibili:233587785,_旧青年,1,1,378,378,378.0,2025-09-14T00:24:11+08:00,2025-09-14T00:24:11+08:00
bilibili:2151196,尼奥特里斯里德,1,1,369,369,369.0,2025-09-14T17:35:22+08:00,2025-09-14T17:35:22+08:00
bilibili:304111943,未定之两,1,1,354,354,354.0,2025-09-13T12:42:34+08:00,2025-09-13T12:42:34+08:00
bilibili:415386941,一人天上飞,1,1,354,354,354.0,2025-09-13T23:35:19+08:00,2025-09-13T23:35:19+08:00
bilibili:250096352,finallyfun,1,1,339,339,339.0,2025-09-16T17:22:38+08:00,2025-09-16T17:22:38+08:00
bilibili:478794937,银河集市,1,1,329,329,329.0,2025-09-15T08:51:44+08:00,2025-09-15T08:51:44+08:00
bilibili:209499579,尾张大傻瓜织田信长,1,1,294,294,294.0,2025-09-14T11:38:03+08:00,2025-09-14T11:38:03+08:00
bilibili:149045078,落车six,1,1,288,288,288.0,2026-01-17T03:20:25+08:00,2026-01-17T03:20:25+08:00
bilibili:449716778,月色慢递员,1,1,278,278,278.0,2025-09-13T21:22:19+08:00,2025-09-13T21:22:19+08:00
bilibili:47265481,思无鸡蛋,1,1,274,274,274.0,2025-09-14T16:57:09+08:00,2025-09-14T16:57:09+08:00
bilibili:530050303,熊爸老张,1,1,258,258,258.0,2025-09-13T01:00:40+08:00,2025-09-13T01:00:40+08:00
bilibili:449740254,假装是少年rst,1,1,253,253,253.0,2025-09-14T16:30:16+08:00,2025-09-14T16:30:16+08:00
bilibili:17545884,ray21121,1,1,251,251,251.0,2026-01-16T14:07:34+08:00,2026-01-16T14:07:34+08:00
bilibili:1080796002,罗辑心理,1,1,245,245,245.0,2025-09-14T00:03:44+08:00,2025-09-14T00:03:44+08:00
bilibili:509046121,我在银河烤翅膀,1,1,241,241,241.0,2026-01-17T13:05:41+08:00,2026-01-17T13:05:41+08:00
bilibili:21921544,与娄葑门,1,1,237,237,237.0,2025-09-13T21:12:12+08:00,2025-09-13T21:12:12+08:00
bilibili:313093112,排雷用二哈,1,1,229,229,229.0,2025-09-14T19:32:05+08:00,2025-09-14T19:32:05+08:00
bilibili:3546967068117356,账号已注销,2,2,228,224,114.0,2025-09-16T16:08:48+08:00,2025-09-22T10:39:35+08:00
bilibili:31637138,hhgrdv,1,1,225,225,225.0,2025-09-15T23:55:00+08:00,2025-09-15T23:55:00+08:00
bilibili:355216323,念旧的猜哥,1,1,224,224,224.0,2025-09-14T19:49:35+08:00,2025-09-14T19:49:35+08:00
bilibili:3285654,Byuuu,1,1,220,220,220.0,2025-09-15T09:33:05+08:00,2025-09-15T09:33:05+08:00
bilibili:450664995,珠海的科学R,1,1,220,220,220.0,2025-09-16T12:40:06+08:00,2025-09-16T12:40:06+08:00
bilibili:3493088095897692,嗪嗪兽,1,1,214,214,214.0,2026-01-16T21:20:51+08:00,2026-01-16T21:20:51+08:00
bilibili:552001224,ewks魔弹射手wisusna,1,1,195,195,195.0,2025-09-16T10:24:42+08:00,2025-09-16T10:24:42+08:00
bilibili:3493117837707388,叫我嘿嘿潇洒哥,1,1,193,193,193.0,2025-09-13T20:19:02+08:00,2025-09-13T20:19:02+08:00
bilibili:1059710596,YoSoyLing,1,1,192,192,192.0,2025-09-13T00:04:19+08:00,2025-09-13T00:04:19+08:00
bilibili:295053044,wujiang6188,1,1,191,191,191.0,2025-09-13T01:54:00+08:00,2025-09-13T01:54:00+08:00
bilibili:4400315,霜之哀伤2014,1,1,190,190,190.0,2025-09-13T16:01:44+08:00,2025-09-13T16:01:44+08:00
bilibili:33026639,无九泪,1,1,189,189,189.0,2025-09-15T07:23:31+08:00,2025-09-15T07:23:31+08:00
bilibili:413065599,剑来__-_-,1,1,187,187,187.0,2025-09-14T21:10:53+08:00,2025-09-14T21:10:53+08:00
bilibili:30447204,Pika张点点,1,1,186,186,186.0,2025-09-13T15:07:13+08:00,2025-09-13T15:07:13+08:00
bilibili:63606708,拥有太晶飞的固拉多,1,1,185,185,185.0,2025-09-14T13:11:45+08:00,2025-09-14T13:11:45+08:00
bilibili:37959862,HJ980315,1,1,184,184,184.0,2025-09-15T06:59:05+08:00,2025-09-15T06:59:05+08:00
bilibili:380357453,蓝天和流云舌稳,2,2,183,183,91.5,2025-09-14T10:17:02+08:00,2025-09-14T10:33:05+08:00
bilibili:17385291,落单的小歪,1,1,177,177,177.0,2025-09-15T11:21:03+08:00,2025-09-15T11:21:03+08:00
bilibili:83948907,月月好困呐,1,1,173,173,173.0,2025-09-17T16:32:09+08:00,2025-09-17T16:32:09+08:00
bilibili:299261802,飞翰_,1,1,171,171,171.0,2025-09-13T21:17:27+08:00,2025-09-13T21:17:27+08:00
bilibili:3546633465760441,bili_23200358239,1,1,168,168,168.0,2025-09-12T23:14:23+08:00,2025-09-12T23:14:23+08:00
bilibili:15534260,萨马兰奇怪,1,1,166,166,166.0,2025-09-12T23:05:41+08:00,2025-09-12T23:05:41+08:00
bilibili:351353693,帐号巳汪诮,1,1,157,157,157.0,2025-09-13T07:59:57+08:00,2025-09-13T07:59:57+08:00
bilibili:68199190,忽忽虎no2,1,1,157,157,157.0,2025-09-13T09:07:57+08:00,2025-09-13T09:07:57+08:00
bilibili:1286095591,ソラザカナp,1,1,156,156,156.0,2026-01-19T20:13:50+08:00,2026-01-19T20:13:50+08:00
bilibili:1722854,_催眠君_,1,1,156,156,156.0,2025-09-14T14:21:12+08:00,2025-09-14T14:21:12+08:00
bilibili:1740164088,吴家窑小点点,1,1,148,148,148.0,2025-09-13T21:45:18+08:00,2025-09-13T21:45:18+08:00
bilibili:102393509,正气凌然的蒙先森,1,1,145,145,145.0,2025-09-15T14:21:02+08:00,2025-09-15T14:21:02+08:00
