user_id,user_name,received_reply_count,distinct_replier_count,source_count
bilibili:12332519,珠希酱-一分流水,2,2,1
bilibili:13247947,末然ン羽,2,2,1
bilibili:13327156,cvfgji,2,2,1
bilibili:14046072,Mikoyan21,2,2,1
bilibili:1467643346,橘柚橸,2,2,1
bilibili:149045078,落车six,2,2,1
bilibili:15350722,MISSC0622,2,2,1
bilibili:16569302,弃庸乎,2,2,1
bilibili:166576396,滑雪雪豹,2,2,1
bilibili:173244991,大方向是对的长长名字,2,2,1
bilibili:17545884,ray21121,2,2,1
bilibili:179911944,9mm空尖弹,2,2,1
bilibili:19412032,鸣谦s,2,2,1
bilibili:1975211,IlIlIlIIllIIlIlI,2,2,1
bilibili:209499579,尾张大傻瓜织田信长,2,2,1
bilibili:21895343,穿趿拉板吃涮锅子,2,2,1
bilibili:233587785,_旧青年,2,2,1
bilibili:240823190,晨沁心,2,2,1
bilibili:24556340,鱼刺931,2,2,1
bilibili:261892524,大明瓦学弟朱祁镇,2,2,1
bilibili:26391649,欢喵爱吃鱼,2,2,1
bilibili:279661,JIUQIANSHUODAO,2,2,1
bilibili:2800590,cheefay,2,2,1
bilibili:321667815,代号x该隐1,2,2,1
bilibili:33709459,猪呆呆吃玉米,2,2,1
bilibili:346432948,agere23,2,2,1
bilibili:3493289095334193,Sjasth,2,2,1
bilibili:357773251,特立独醒的猫先森,2,2,1
bilibili:362166833,清风夏天鸣蝉,2,2,1
bilibili:37087045,皇后的头风,2,2,1
bilibili:386825429,黄辉冯师傅,2,2,1
bilibili:396015923,广东广西大件搬家物流,2,2,1
bilibili:405069934,jonning的小号,2,2,1
bilibili:40853970,演员熊凤山,2,2,1
bilibili:4121086,黑_李子,2,2,1
bilibili:419175194,杉木橦,2,2,1
bilibili:4192759,飘酱_,2,2,1
bilibili:450664995,珠海的科学R,2,2,1
bilibili:494463119,我在辟谷,2,2,1
bilibili:494471075,-该用户账号注销-,2,2,1
bilibili:509046121,我在银河烤翅膀,2,2,1
bilibili:57167867,饭巴斯滕,2,2,1
bilibili:666839416,看视频的工程师,2,2,1
bilibili:6720185,左旋Cs,2,2,1
bilibili:68389788,休伯利安号战列巡航舰,2,2,1
bilibili:7644696,吧啦吧啦kimoji,2,2,1
bilibili:76754981,与你共鸣也共进退,2,2,1
bilibili:8378946,WzZP,2,2,1
bilibili:8396203,怡红公子不懂爱,2,2,1
bilibili:88525105,鹿的洗碗人,2,2,1
bilibili:90581079,我的艾达老婆,2,2,1
bilibili:1042288531,干三干,1,1,1
bilibili:1111924044,站着不動装糕手,1,1,1
bilibili:11630400,AyLi丶,1,1,1
bilibili:11646949,柘月听桑落,1,1,1
bilibili:1216717318,b站b站真好玩啊,1,1,1
bilibili:14811631,人生巛一问号,1,1,1
bilibili:15904760,小能苗绝不投降,1,1,1
bilibili:164099874,叁石头,1,1,1
bilibili:2151196,尼奥特里斯里德,1,1,1
bilibili:21790653,啊南1988,1,1,1
bilibili:21921544,与娄葑门,1,1,1
bilibili:304111943,未定之两,1,1,1
bilibili:30447204,Pika张点点,1,1,1
bilibili:31637138,hhgrdv,1,1,1
bilibili:3242069,园外雪离人泪,1,1,1
bilibili:331234234,熊猫毛很乱,1,1,1
bilibili:340472248,尤其圆,1,1,1
bilibili:343876,karanoshoujo,1,1,1
bilibili:3461562180307133,电动滑板TV,1,1,1
bilibili:3493088095897692,嗪嗪兽,1,1,1
bilibili:3546587034815126,Meowtains,1,1,1
bilibili:355872103,火锅吃很辣,1,1,1
bilibili:380357453,蓝天和流云舌稳,1,1,1
bilibili:38144534,梅志豪大大,1,1,1
bilibili:395906405,增智慧5a190基本,1,1,1
bilibili:408436013,Mr-__,1,1,1
bilibili:415386941,一人天上飞,1,1,1
bilibili:415723930,嘉然一世,1,1,1
bilibili:43093590,不要叫我快播凡,1,1,1
bilibili:4400315,霜之哀伤2014,1,1,1
bilibili:484701316,两难自解的智慧,1,1,1
bilibili:508740440,蜗牛瑶妖,1,1,1
bilibili:516831106,渔人老不死,1,1,1
bilibili:526116712,宁波一狼,1,1,1
bilibili:535114229,古今一天,1,1,1
bilibili:552001224,ewks魔弹射手wisusna,1,1,1
bilibili:650065334,梧桐山老师傅,1,1,1
bilibili:670897509,果果凹凸曼,1,1,1
bilibili:6890637,萱草丶江蓠,1,1,1
bilibili:83948907,月月好困呐,1,1,1
bilibili:91424944,kingmighty,1,1,1
