raw_file_path,file_name,file_size,record_type,row_count,parsed_count,error_count
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_1/detail_comments_2026-06-09.jsonl,detail_comments_2026-06-09.jsonl,8374493,detail_comments,16552,16552,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_1/detail_contents_2026-06-09.jsonl,detail_contents_2026-06-09.jsonl,11590,detail_contents,14,14,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_1/detail_creators_2026-06-09.jsonl,detail_creators_2026-06-09.jsonl,4799,detail_creators,14,14,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_2/detail_comments_2026-06-09.jsonl,detail_comments_2026-06-09.jsonl,6594388,detail_comments,12845,12845,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_2/detail_contents_2026-06-09.jsonl,detail_contents_2026-06-09.jsonl,3825,detail_contents,5,5,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_2/detail_creators_2026-06-09.jsonl,detail_creators_2026-06-09.jsonl,1769,detail_creators,5,5,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_3/detail_comments_2026-06-09.jsonl,detail_comments_2026-06-09.jsonl,2473279,detail_comments,4637,4637,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_3/detail_contents_2026-06-09.jsonl,detail_contents_2026-06-09.jsonl,1515,detail_contents,2,2,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_3/detail_creators_2026-06-09.jsonl,detail_creators_2026-06-09.jsonl,738,detail_creators,2,2,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_4/detail_comments_2026-06-09.jsonl,detail_comments_2026-06-09.jsonl,3382538,detail_comments,6657,6657,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_4/detail_contents_2026-06-09.jsonl,detail_contents_2026-06-09.jsonl,5451,detail_contents,7,7,0
/Users/heh/projects/course/content security/xibei_opinion_analysis/data/raw/Comments/Comments_4/detail_creators_2026-06-09.jsonl,detail_creators_2026-06-09.jsonl,2512,detail_creators,7,7,0
