source_id,platform,source_type,source_title,platform_source_id,source_url,author_user_id,published_at,raw_file_path,comment_all_count,page_reply_count,has_next_offset
bilibili_video:115191660484682,bilibili,video,罗永浩手撕西贝直播全程【29分钟纯享版】,115191660484682,,bilibili:37087045,2025-09-12T22:03:59,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩手撕西贝直播全程【29分钟纯享版】.txt,6559,20,true
bilibili_video:115191693968861,bilibili,video,罗永浩9月12日西贝门事件直播全程,115191693968861,,bilibili:59533708,2025-09-12T22:26:53,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩9月12日西贝门事件直播全程.txt,385,20,true
bilibili_video:115191777923213,bilibili,video,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,115191777923213,,bilibili:449716778,2025-09-12T22:33:04,/Users/heh/projects/course/content security/course_design/data/raw/从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！.txt,633,20,true
bilibili_video:115192130181384,bilibili,video,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,115192130181384,,bilibili:407479165,2025-09-12T23:55:19,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱.txt,203,20,true
bilibili_video:115195083034113,bilibili,video,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,115195083034113,,,2025-09-13T12:25:06,/Users/heh/projects/course/content security/course_design/data/raw/西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。.txt,794,20,true
bilibili_video:115196525805764,bilibili,video,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,115196525805764,,bilibili:1641520135,2025-09-13T18:35:16,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元.txt,983,20,true
bilibili_video:115196894908031,bilibili,video,罗永浩也是懵了，自杀式公关还是第一次见。,115196894908031,,bilibili:190342706,2025-09-13T20:09:25,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩也是懵了，自杀式公关还是第一次见。.txt,154,20,true
bilibili_video:115197800941925,bilibili,video,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,115197800941925,,bilibili:485307929,2025-09-13T23:58:11,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩.txt,530,20,true
bilibili_video:115198320972353,bilibili,video,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,115198320972353,,bilibili:238365787,2025-09-14T11:30:00,/Users/heh/projects/course/content security/course_design/data/raw/西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？.txt,9622,20,true
bilibili_video:115206659249643,bilibili,video,罗永浩与西贝争论事件原委 一条视频告诉你,115206659249643,,,2025-09-15T13:35:02,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩与西贝争论事件原委 一条视频告诉你.txt,24,13,true
bilibili_video:115206827021040,bilibili,video,罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单,115206827021040,,,2025-09-15T14:16:52,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩与西贝预制菜之争持续发酵，西贝自证变自爆“大翻车”，媒体评：尊重消费者知情权，自然有人为“真诚”买单.txt,60,20,true
bilibili_video:115208706064466,bilibili,video,罗永浩vs西贝事件 来龙去脉 一口气看完！！！,115208706064466,,bilibili:13115528,2025-09-15T22:13:03,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩vs西贝事件 来龙去脉 一口气看完！！！.txt,367,20,true
bilibili_video:115211222653264,bilibili,video,罗永浩是怎么把西贝搞翻车的？,115211222653264,,,2025-09-16T08:51:25,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩是怎么把西贝搞翻车的？.txt,169,19,true
bilibili_video:115212816485947,bilibili,video,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,115212816485947,,bilibili:null,2025-09-16T15:36:43,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？.txt,77,20,true
bilibili_video:115245498500488,bilibili,video,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,115245498500488,,bilibili:null,2025-09-22T10:11:48,/Users/heh/projects/course/content security/course_design/data/raw/罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀….txt,22,20,true
bilibili_video:115900413909566,bilibili,video,【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！,115900413909566,,bilibili:3546601119287659,2026-01-16T02:03:18,/Users/heh/projects/course/content security/course_design/data/raw/【罗永浩西贝事件】每一步操作都精准地直接踩在爆点上！论餐饮王国贾老板的自我引爆！.txt,660,20,true
